epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,0.9187634330476597,0.9540803071975708,80.27,95.09
1,0.8514137948540048,1.1614088161468505,79.84,95.05
2,0.8619565958689025,0.9253189190864562,80.02,95.14
3,0.8849214421401561,0.9862522965431213,80.22,95.12
4,0.9439699300940455,0.8919585466384887,80.28,95.27
5,0.9190538433426931,1.1226747272491455,80.06,95.18
6,0.8563951003948339,0.7838836647987366,80.09,95.23
7,0.9327602379510558,0.8404010142326355,80.3,95.3
8,0.8817286172144774,0.9316184238433838,80.17,95.14
9,0.8512091657645265,0.8525501531600952,80.37,95.24
10,0.876375738020972,1.1277247663497925,80.18,95.06
11,0.9051302448869056,0.9680402076721192,80.16,95.2
12,0.8938222045076488,0.85216881275177,80.32,95.11
13,0.8997373840796657,1.057265242767334,80.19,94.96
14,0.9405181564190324,0.7290380563735962,80.45,95.46
15,0.9113696883223884,0.7945018814086914,80.15,95.09
16,0.8795649365601863,0.8467459170341491,80.42,95.06
17,0.9256420554008893,0.9019964670181274,80.32,95.11
18,0.9149607750426181,0.793788389968872,80.41,95.22
19,0.8933312224746514,1.0771365219116211,80.31,95.23
20,0.8509798463095318,0.869107459640503,80.0,95.24
21,0.9312943125312979,0.9226255062103271,80.39,95.18
22,0.904556327159594,0.7248968850135803,80.59,95.47
23,0.833168991243946,1.0465717052459718,80.28,95.16
24,0.8904697452117325,0.8683557031631469,80.18,95.09
25,0.8784590364647278,0.8538480628967285,80.13,95.33
26,0.9608940572290658,0.9004898523330689,79.96,94.94
27,0.8681049858066092,0.7720649349212646,80.19,95.22
28,0.9515406980290151,0.938024469947815,80.0,95.3
29,0.9031102970032625,0.9834797790527344,80.0,95.23
30,0.8849223948986521,0.7635189953804016,80.23,95.47
31,0.8663320575152713,1.0083603466033935,79.8,95.12
32,0.8977585821752359,0.8912094610214233,80.01,95.15
33,0.925143975578487,0.764487267112732,80.41,95.31
34,0.9304708520310636,0.9427209707260131,79.99,95.15
35,0.835488265210932,0.8347322998046875,80.16,95.34
36,0.9609661417775972,0.9292335199356079,79.93,95.25
37,0.8965159100641362,0.8456507843017578,80.04,95.29
38,0.978126225766467,1.1294989797592163,80.09,95.01
39,0.9086922636486962,1.065732308578491,80.07,95.08
40,0.8750289179642283,0.8392109711647033,80.14,95.33
41,0.8876618029270679,0.9902353157043458,80.14,95.03
42,0.9247295287427004,1.12000073928833,79.97,95.12
43,0.969754917349156,1.098983510017395,79.95,95.01
44,0.8705611922963022,0.7431302839279175,80.05,95.27
45,0.9159075991941017,0.9534846590042114,80.13,95.04
46,0.9726898589680656,0.8428328629493713,80.05,95.05
47,1.0046931263274024,0.7840694478034973,80.05,95.2
